name,salary,currency,organization,city,experience,link
Врач-гематолог,,,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91450102?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-рентгенолог,от 68000,₽,ГБУЗ СО Самарская городская поликлиника № 1 Промышленного района,Самара,Без опыта,https://samara.hh.ru/vacancy/80892355?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-офтальмолог,от 40000,₽,Волжская ЦРБ,Самара,Без опыта,https://samara.hh.ru/vacancy/89545728?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра педиатрическая / Медицинский брат педиатрический,от 39200,₽,Мать И Дитя ИДК,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/88292329?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач травматолог-ортопед,50000 – 80000,₽,Гос. корп. ГАУЗ Нижнекамская детская районная больница с перинатальным центром,Самара,Без опыта,https://samara.hh.ru/vacancy/89008091?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра / медицинский брат по массажу,30000 – 35000,₽,ФГБУ СКК Приволжский МО РФ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91875235?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-профпатолог,52200 – 58640,₽,ГБУЗ Правдинская ЦРБ,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93353726?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Медицинская сестра палатная/Медицинский брат палатный (детство),28000 – 28000,₽,ГБУЗ СГКБ №1 им. Н.И. Пирогова,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/87125280?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач скорой медицинской помощи в бригаду экстренного реагирования,от 50000,₽,ГБУЗ Самарский областной центр медицины катастроф и скорой медицинской помощи,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/90106267?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
Врач-кардиолог,от 80000,₽,ГБУЗ СО Жигулевская центральная городская больница,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91025110?query=%D0%BF%D0%B5%D0%B4%D0%B8%D0%B0%D1%82%D1%80&hhtmFrom=vacancy_search_list
