name,salary,currency,organization,city,experience,link
Территориальный менеджер по развитию дистрибьюции (сельскохозяйственная техника),140000 – 200000,₽,ООО Лилиани,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/91461002?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Оператор в колл-центр (международные звонки),от 30000,₽,Яндекс Крауд,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/89895309?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Специалист группы поддержки бизнеса по процессу закупок,до 50000,₽,Health & Nutrition,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/90625925?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Начинающий менеджер по маркетплейсам / Менеджер отдела продаж Wildberries (удалённо),от 15000,₽,ООО Консалтинговая компания Yankovskiy Group,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/93142074?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Маркетолог-стратег образовательных проектов для врачей,,,ООО Брефи маркетинг,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/91102844?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Инженер по тестированию,,,ВИТА,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92572300?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Инженер по тестированию (QA mobile),,,РТЛабс,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/92588297?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
QA Engineer,,,Сбер. IT,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92507538?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
It-рекрутер (Junior),,,ООО ГК Иннотех | Финтех (Иннотех),Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92620863?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
1С Консультант,,,ООО СимбирСофт,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92740404?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
Программист,50000 – 154000,₽,ООО Избранное,Самара,Опыт от 3 до 6 лет,https://samara.hh.ru/vacancy/92449381?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
"Бизнес-ассистент, удаленно",от 15000,₽,Контент Решает. Школа Маркетинга,Самара,Опыт от 1 года до 3 лет,https://samara.hh.ru/vacancy/92722111?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list
