name,salary,url,organization,address,experience
Экономист в строительную компанию,до 120000 ₽,https://samara.hh.ru/vacancy/91634419?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Алабуга. Экономика и аналитика,", Особая экономическая зона АлабугаЕлабужский район",1–3 года
Разработчик 1С,,https://samara.hh.ru/vacancy/93358780?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Hoff Tech,,3–6 лет
QA инженер (MedTech),,https://samara.hh.ru/vacancy/93511728?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ФГБОУ ВО Самарский государственный медицинский университет МЗ РФ,"Алабинская, улица Льва Толстого, 115Самара, ",1–3 года
Ведущий сервисный инженер 2 линии технической поддержки,40000 ₽,https://samara.hh.ru/vacancy/93736526?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,LEVITA (ООО Джеймс Билгтон),,1–3 года
Менеджер по продажам оборудования,до 250000 ₽,https://samara.hh.ru/vacancy/93762573?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ООО ТД СпецСплав,", улица Гастелло, 42БСамара",1–3 года
Специалист по подбору персонала / HR менеджер,44000 ₽,https://samara.hh.ru/vacancy/93559425?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,GSR РАБОТА,"Самара, улица Алексея Толстого, 78",1–3 года
Golang- разработчик (Senior),до 200000 ₽,https://samara.hh.ru/vacancy/94183197?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Seldon,,1–3 года
Инженер,55000 ₽,https://samara.hh.ru/vacancy/89161431?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,ГКУ СО Безопасный регион,"Самара, улица Алексея Толстого, 116В",1–3 года
Менеджер по работе с мастер данными,,https://samara.hh.ru/vacancy/93973545?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,Объединенные Пивоварни,,1–3 года
"Менеджер по продажам, наставничество (удаленно)",45000 ₽,https://samara.hh.ru/vacancy/93896321?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,LEVITA (ООО Джеймс Билгтон),,1–3 года
